"Status","Name","Duration in ms","Description"
"failed","station_backtage.scripts.test_90_mall_contral.Test_Mall_Contral.test_goods_contral","456",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_data_board","1268",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_iot","1411",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_info_news","1424",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_vip","1249",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_sku","1199",""
"passed","station_backtage.scripts.test_40_info_news.TestInfoNews.test_info_news","296",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_system_contral","1384",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_business","1233",""
"passed","station_backtage.scripts.test_1_login.Test_station_news.test_add_station_news","11883",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_mall_contral","1510",""
"passed","station_backtage.scripts.test_20_home.Test_station_news.test_select_station","14710",""
